
****************************** FastFind 2.2 (c)FastFrench 2013 ********
		Started  Thu Jul 16 17:44:16 2015

             1.374mS|ChangeMode(231) => m_bDebugGraphique=1, m_DebugModeTxt=  E3
            63.874µS|FFGetPixel(x:1417, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            66.155µS|FFGetPixel(x:1418, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            63.874µS|FFGetPixel(x:1419, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1420, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1421, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1422, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1423, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1424, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1425, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1426, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1427, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1428, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
           134.021µS|FFGetPixel(x:1429, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1430, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1431, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            67.296µS|FFGetPixel(x:1432, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1433, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1434, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            60.452µS|FFGetPixel(x:1435, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1436, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1437, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1438, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            60.452µS|FFGetPixel(x:1439, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1440, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1441, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1442, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1443, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1444, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1445, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1446, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1447, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            74.710µS|FFGetPixel(x:1448, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1449, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1450, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1451, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1452, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1453, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1454, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1455, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1456, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.593µS|FFGetPixel(x:1457, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1458, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1459, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            94.100µS|FFGetPixel(x:1460, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1461, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1462, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            71.288µS|FFGetPixel(x:1463, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1464, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1465, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1466, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1467, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            60.452µS|FFGetPixel(x:1468, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1469, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
            61.022µS|FFGetPixel(x:1470, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1366,768) => returns -1
